affliations,article_name,authors,doi,email_address,publishing_date,volume,type,author_id
,Graphical Model Market Maker for Combinatorial Prediction Markets,"Kathryn Blackmond Laskey,Wei Sun,Robin Hanson,Charles Twardy,Shou Matsumoto,Brandon Goldfedder",https://doi.org/10.1613/jair.1.11249,,,Vol. 63 (2018),article,
,Robust Text Classification under Confounding Shift,"Virgile Landeiro,Aron Culotta",https://doi.org/10.1613/jair.1.11248,,,Vol. 63 (2018),article,
,"Cooperative, Dynamics-based, and Abstraction-Guided Multi-robot Motion Planning","Duong Le,Erion Plaku",https://doi.org/10.1613/jair.1.11244,,,Vol. 63 (2018),article,
,Watching and Acting Together: Concurrent Plan Recognition and Adaptation for Human-Robot Teams,"Steven James Levine,Brian Charles Williams",https://doi.org/10.1613/jair.1.11243,,,Vol. 63 (2018),article,
,Revisiting the Approximation Bound for Stochastic Submodular Cover,"Lisa Hellerstein,Devorah Kletenik",https://doi.org/10.1613/jair.1.11242,,,Vol. 63 (2018),article,
,Efficient Computation of Semivalues for Game-Theoretic Network Centrality,"Mateusz K. Tarkowski,Piotr L. Szczepański,Tomasz P. Michalak,Paul Harrenstein,Michael Wooldridge",https://doi.org/10.1613/jair.1.11239,,,Vol. 63 (2018),article,
,Belief Integration and Source Reliability Assessment,Paolo Liberatore,https://doi.org/10.1613/jair.1.11238,,,Vol. 63 (2018),article,
,Query Answering with Transitive and Linear-Ordered Data,"Antone Amarilli,Michael Benedikt,Pierre Bourhis,Michael Vanden Boom",https://doi.org/10.1613/jair.1.11240,,,Vol. 63 (2018),article,
,A Core Method for the Weak Completion Semantics with Skeptical Abduction,"Emmanuelle-Anna Dietz Saldanha,Steffen Hölldobler,Carroline Dewi Puspa Kencana Ramli,Luis Palacios Medinacelli",https://doi.org/10.1613/jair.1.11236,,,Vol. 63 (2018),article,
,A Model-Theoretic View on Qualitative Constraint Reasoning,"Manuel Bodirsky,Peter Jonsson",https://doi.org/10.1613/jair.5260,,,Vol. 58 (2017),article,
,Human-Machine Collaborative Optimization via Apprenticeship Scheduling,"Matthew Gombolay,Reed Jensen,Jessica Stigile,Toni Golen,Neel Shah,Sung-Hyun Son,Julie Shah",https://doi.org/10.1613/jair.1.11233,,,Vol. 63 (2018),article,
,Computational Aspects of Nearly Single-Peaked Electorates,"Gábor Erdélyi,Martin Lackner,Andreas Pfandler",https://doi.org/10.1613/jair.5210,,,Vol. 58 (2017),article,
,"Bayesian Network Structure Learning with Integer Programming: Polytopes, Facets and Complexity","James Cussens,Matti Järvisalo,Janne H. Korhonen,Mark Bartlett",https://doi.org/10.1613/jair.5203,,,Vol. 58 (2017),article,
,Local Search for Minimum Weight Dominating Set with Two-Level Configuration Checking and Frequency Based Scoring Function,"Yiyuan Wang,Shaowei Cai,Minghao Yin",https://doi.org/10.1613/jair.5205,,,Vol. 58 (2017),article,
,DESPOT: Online POMDP Planning with Regularization,"Nan Ye,Adhiraj Somani,David Hsu,Wee Sun Lee",https://doi.org/10.1613/jair.5328,,,Vol. 58 (2017),article,
,Subset Selection Via Implicit Utilitarian Voting,"Ioannis Caragiannis,Swaprava Nath,Ariel D. Procaccia,Nisarg Shah",https://doi.org/10.1613/jair.5282,,,Vol. 58 (2017),article,
,A Knowledge Level Account of Forgetting,James P. Delgrande,https://doi.org/10.1613/jair.5530,,,Vol. 60 (2017),article,
,Tie-Breaking Strategies for Cost-Optimal Best First Search,"Masataro Asai,Alex Fukunaga",https://doi.org/10.1613/jair.5249,,,Vol. 58 (2017),article,
,Controlled School Choice with Soft Bounds and Overlapping Types,"Ryoji Kurata,Naoto Hamada,Atsushi Iwasaki,Makoto Yokoo",https://doi.org/10.1613/jair.5297,,,Vol. 58 (2017),article,
,A Game Theoretic Analysis of the Adversarial Retrieval Setting,"Ran Ben Basat,Moshe Tennenholtz,Oren Kurland",https://doi.org/10.1613/jair.5547,,,Vol. 60 (2017),article,
,Confidence Decision Trees via Online and Active Learning for Streaming Data,"Rocco De Rosa,Nicolò Cesa-Bianchi",https://doi.org/10.1613/jair.5440,,,Vol. 60 (2017),article,
,Axiomatising Incomplete Preferences through Sets of Desirable Gambles,"Marco Zaffalon,Enrique Miranda",https://doi.org/10.1613/jair.5230,,,Vol. 60 (2017),article,
,Learning Neural Audio Embeddings for Grounding Semantics in Auditory Perception,"Douwe Kiela,Stephen Clark",https://doi.org/10.1613/jair.5665,,,Vol. 60 (2017),article,
,Elections with Few Voters: Candidate Control Can Be Easy,"Jiehua Chen,Piotr Faliszewski,Rolf Niedermeier,Nimrod Talmon",https://doi.org/10.1613/jair.5515,,,Vol. 60 (2017),article,
,On Monte Carlo Tree Search and Reinforcement Learning,"Tom Vodopivec,Spyridon Samothrakis,Branko Ster",https://doi.org/10.1613/jair.5507,,,Vol. 60 (2017),article,
,Prime Implicate Generation in Equational Logic,"Mnacho Echenim,Nicolas Peltier,Sophie Tourret",https://doi.org/10.1613/jair.5481,,,Vol. 60 (2017),article,
,On the Equivalence between Assumption-Based Argumentation and Logic Programming,"Martin Caminada,Claudia Schulz",https://doi.org/10.1613/jair.5581,,,Vol. 60 (2017),article,
,Chamberlin--Courant Rule with Approval Ballots: Approximating the MaxCover Problem with Bounded Frequencies in FPT Time,"Piotr Skowron,Piotr Faliszewski",https://doi.org/10.1613/jair.5628,,,Vol. 60 (2017),article,
,Viewpoint: A Critical View on Smart Cities and AI,"Daniela Inclezan,Luis I. Pradanos",https://doi.org/10.1613/jair.5660,,,Vol. 60 (2017),article,
,Multi-Organ Exchange,"John P. Dickerson,Tuomas Sandholm",https://doi.org/10.1613/jair.4919,,,Vol. 60 (2017),article,
,Sample-Based Tree Search with Fixed and Adaptive State Abstractions,"Jesse Hostetler,Alan Fern,Thomas Dietterich",https://doi.org/10.1613/jair.5483,,,Vol. 60 (2017),article,
,Time and Space Bounds for Planning,"Christer Bäckström,Peter Jonsson",https://doi.org/10.1613/jair.5535,,,Vol. 60 (2017),article,
,A Survey on Lexical Simplification,"Gustavo H. Paetzold,Lucia Specia",https://doi.org/10.1613/jair.5526,,,Vol. 60 (2017),article,
,On Hash-Based Work Distribution Methods for Parallel Best-First Search,"Yuu Jinnai,Alex Fukunaga",https://doi.org/10.1613/jair.5225,,,Vol. 60 (2017),article,
,Resolving Over-Constrained Temporal Problems with Uncertainty through Conflict-Directed Relaxation,"Peng Yu,Brian Williams,Cheng Fang,Jing Cui,Patrik Haslum",https://doi.org/10.1613/jair.5431,,,Vol. 60 (2017),article,
